shape,n_verts,eps1,eps2,b_over_a,c_over_a,delta,sphericity,aspect_ratio,aspect_ratio_e1e2,murakami,area,volume,gss_elbow,gss_bandlimit_mean,gss_bandlimit_sd,n_replicates,failed_seeds
G1A,753,1.3293449228748457,2.3754773073487,0.7634,0.3846,0.0,0.8222774496868747,2.602077840369388,1.3081989223882957,2.2356942961008266,12.502084673469568,3.0993815078926015,0.5761934809450301,0.5413038905324039,0.008875245659785043,9,
G1B,709,1.4754754635640104,2.182244077866066,0.7634,0.3846,0.0,0.8210560028663139,2.617939790324757,1.309925757322426,2.24000000000002,12.516795112452204,3.0979378385118697,0.5689728775075753,0.5779842510978076,0.003195728889610784,9,
G2A,753,1.7059611373064014,2.7574815769015886,0.7634,0.45,0.0,0.7512016977726266,2.182483793350048,1.2814965047390032,2.3342275091293327,12.387639352927135,2.669263722287971,0.4851218432061953,0.3978394298125623,0.017891888449068576,9,
G2B,773,2.0244156860008826,2.3159495949784348,0.7634,0.45,0.0,0.7464957269523722,2.234435744508838,1.3099958045695865,2.360000000000021,12.46876639997792,2.670238389057881,0.4840503079612452,0.4848817148448156,0.011466578077183251,9,
G3A,740,1.1882574547798626,2.4575791333476835,0.7,0.32,0.0,0.8024640733175974,3.1061401724781645,1.4182174757606298,2.264768491330615,12.49007838887999,2.9837329908905215,0.5637008725358215,0.571798860301261,0.009317062740493725,8,6
G3B,721,1.3838402002024055,2.2071118634133025,0.7,0.32,0.0,0.8008170357314948,3.126584938718713,1.4248442789631266,2.273072565411934,12.51493485074321,2.983435532952012,0.6160016116325591,0.6020618886883649,0.0036511652976043535,9,
G4A,738,1.3509682718507012,2.520247892406989,0.7,0.32,0.0,0.7838968403120155,3.131039314276407,1.4262300173785727,2.3531697963272262,12.473466205866927,2.8750335450796913,0.6530853935616877,0.5773424606700346,0.004051077894188326,9,
G4B,712,1.4517014053856332,2.389570737209876,0.7,0.32,0.0,0.7823145988943477,3.120879114179119,1.4203790887456764,2.353218269351388,12.500681282869088,2.875719280798185,0.6185834646201906,0.5952039758116103,0.0030022490831377526,9,
